project,sha,issue
wicket,b1e934dec877f9eee1c4b7b0c9d5602bbb02fb26,Improvement
wicket,0cf827faede8310271db35e537d47f93489286ac,Improvement
wicket,1c517a264e908ab91f833e2563e3efcf0a0ca787,Improvement
wicket,857787c4c4250bbc24760187dae9e67b2dcb82b8,Bug
wicket,abdcf847326aa04a34883df2f7a1024a64378e81,Improvement
wicket,ce253b73852a461b0eed3901a2abf68a3c62b2f3,Bug
wicket,4c672a1365ff15605f5ac1528ef0169aa9e6a608,Improvement
wicket,f4c6e179c504120532d4b42f0f0c79cb460b1906,Bug
wicket,08f8a556722b8b803430194ab8e80d00199a5401,New Feature
wicket,aaf48b28586824277854b9e472c1f33e07f83676,Bug
wicket,090afb7ad6257147b51dc71dd5005f746cb8e1d0,Bug
wicket,ef3d29745980675b9c61a8cfbaff2f5eb0f41b53,Bug
wicket,f3d5fb7e59998329981718a0efae43df909d9570,Improvement
wicket,11ef03bd10bd41ca1041d4937d99d73a3038a323,Bug
wicket,4166b854c9f6345bd27f02141ca100e463758537,Improvement
wicket,b4faf3f182d681821a947351ed42ea5b2a3f21a2,Improvement
wicket,9e1312a0baa197ee7c0f48c12eba6f41683c8f24,Improvement
wicket,d0441059e0bba325f3f68a5db00282cc3901dc5a,Task
wicket,c92e1e837679cce6150b1a420f79e610c0aafd72,Bug
wicket,463f1379d265b2136dfab2c097dffcbfaa3e8ad4,Bug
wicket,0e28fb3c0ae5371577862b500ebd97c3155497b2,Improvement
wicket,75b7f85bfbe236a338fe6d831d833abce5404cf9,Bug
wicket,e4ee5b72347d9bd10afced909b26b975330de3b9,Improvement
wicket,bc545a1e647df1a23d0489fbcf058d307b3d5a61,Bug
wicket,c2b44cca9b37d58bc8e23eea6e62e1dcfb330719,Improvement
wicket,c000f6d3fde5478367e436f28e33182248afcf30,Improvement
wicket,85f6a7b2aa63d732d4ed2efff115e905dce9dd19,Bug
wicket,59219bfcce8386609cf792ff49b069e95cb79183,Improvement
